sessions,date,time studied
1,27 July 2025,02 hrs 02 mins
2,28 July 2025,03 hrs 40 mins
1,05 August 2025,02 hrs 40 mins
3,10 August 2025,04 hrs 05 mins
3,11 August 2025,03 hrs 55 mins
3,12 August 2025,04 hrs 30 mins
2,18 August 2025,03 hrs 09 mins
11,19 August 2025,02 hrs 49 mins
3,20 August 2025,02 hrs 00 mins
9,21 August 2025,02 hrs 00 mins
6,22 August 2025,05 hrs 44 mins
8,23 August 2025,07 hrs 00 mins
5,25 August 2025,02 hrs 40 mins
9,26 August 2025,02 hrs 00 mins
8,02 September 2025,07 hrs 20 mins
4,03 September 2025,04 hrs 30 mins
16,08 September 2025,06 hrs 35 mins
16,09 September 2025,07 hrs 18 mins
15,10 September 2025,09 hrs 56 mins
8,11 September 2025,06 hrs 54 mins
5,12 September 2025,04 hrs 40 mins
13,15 September 2025,04 hrs 48 mins
7,16 September 2025,06 hrs 30 mins
15,17 September 2025,12 hrs 28 mins
6,18 September 2025,05 hrs 04 mins
8,01 October 2025,04 hrs 16 mins
6,14 October 2025,04 hrs 38 mins
